trans_amount,avail_credit,account_age,is_Client Expenses,is_Office Supplies,is_Payroll,is_Rent,is_Utilities,is_Vendor Payments,"is_Agriculture, Forestry, And Fishing",is_Construction,"is_Finance, Insurance, And Real Estate",is_Retail Trade,is_Wholesale Trade,metro_encoded,income_encoded
1274.57,48378.41,481,0,1,0,0,0,0,1,0,0,0,0,1940,4
911.85,10391.69,239,0,0,0,0,0,1,0,1,0,0,0,1873,4
1547.09,18748.69,463,1,0,0,0,0,0,0,0,1,0,0,1688,2
271.27,45908.63,304,0,1,0,0,0,0,0,1,0,0,0,1873,3
225.31,12223.18,409,0,0,0,1,0,0,0,0,0,0,1,1688,1
1988.14,46438.09,264,0,0,0,1,0,0,0,0,0,0,1,1940,0
593.94,42112.68,543,0,0,0,0,1,0,1,0,0,0,0,1964,3
288.17,26160.32,182,0,0,0,1,0,0,0,0,1,0,0,1964,2
1518.24,49082.36,710,0,1,0,0,0,0,0,0,0,0,1,1873,0
1975.11,27413.35,432,0,0,0,0,1,0,0,1,0,0,0,1940,4
262.81,7452.0,188,0,0,0,0,1,0,0,0,0,1,0,1906,4
32.23,44377.11,444,0,0,0,1,0,0,0,0,0,0,1,1940,4
1845.96,6949.79,384,0,1,0,0,0,0,1,0,0,0,0,1964,3
1761.85,5824.1,703,0,0,0,0,1,0,0,1,0,0,0,1873,3
1095.37,21456.88,201,0,0,0,0,1,0,0,1,0,0,0,1940,1
1598.57,23361.55,329,0,0,1,0,0,0,1,0,0,0,0,1688,1
47.08,24849.88,543,0,0,0,1,0,0,1,0,0,0,0,1940,3
14.17,23834.37,400,0,0,1,0,0,0,0,0,0,0,1,1940,3
1148.53,17670.46,330,0,0,1,0,0,0,0,0,0,1,0,1906,2
1241.78,13821.44,553,0,0,0,0,0,1,0,0,0,0,1,1873,4
1695.24,18675.57,203,0,0,0,0,0,1,0,0,0,1,0,1906,0
1457.93,9356.64,351,0,0,0,0,1,0,0,1,0,0,0,1873,1
1718.99,46468.4,463,0,0,0,0,0,1,0,0,1,0,0,1688,2
1236.0,25985.71,292,0,0,0,0,1,0,1,0,0,0,0,1964,4
977.79,20820.46,198,0,0,0,0,1,0,0,0,1,0,0,1688,3
1122.9,26028.03,129,1,0,0,0,0,0,0,0,1,0,0,1688,0
1377.79,30962.16,578,0,1,0,0,0,0,0,0,0,0,1,1906,1
286.57,31069.27,210,0,1,0,0,0,0,0,0,0,0,1,1688,0
172.82,18877.3,293,0,1,0,0,0,0,1,0,0,0,0,1906,0
1525.41,40507.66,278,0,0,1,0,0,0,0,0,1,0,0,1940,3
115.4,4383.06,235,0,0,0,1,0,0,0,0,1,0,0,1964,1
