current_balance,days_since,is_Auto & Transport,is_Education,is_Entertainment,is_Food & Dining,is_Health & Fitness,is_Pets,is_Taxes,is_Travel,is_Uncategorized,is_Utilities
8077.07,220,0,0,0,0,0,0,0,1,0,0
37413.77,192,0,0,0,0,0,0,0,0,0,1
45473.55,183,0,1,0,0,0,0,0,0,0,0
37748.42,43,1,0,0,0,0,0,0,0,0,0
7459.3,251,1,0,0,0,0,0,0,0,0,0
13640.85,76,0,0,0,0,1,0,0,0,0,0
5882.31,30176,0,0,0,0,0,0,0,1,0,0
45603.39,30348,0,0,0,0,0,0,0,0,1,0
38214.36,196,0,0,0,0,0,0,0,0,0,1
46559.83,30113,0,0,0,0,0,0,1,0,0,0
34453.72,214,0,0,0,0,0,0,1,0,0,0
32733.79,29,0,0,0,0,0,0,1,0,0,0
15241.5,56,0,0,0,0,0,0,0,0,0,1
26112.53,30067,0,0,0,0,0,0,0,1,0,0
2356.97,110,0,0,0,0,1,0,0,0,0,0
7584.14,172,0,0,1,0,0,0,0,0,0,0
11470.03,328,1,0,0,0,0,0,0,0,0,0
4695.99,29,0,0,0,1,0,0,0,0,0,0
18485.14,163,0,0,0,0,0,0,0,0,1,0
33785.49,35,0,0,0,1,0,0,0,0,0,0
45447.69,45,0,0,0,0,0,0,0,0,0,1
32705.87,30340,0,0,0,0,0,0,0,1,0,0
34011.81,30215,0,0,0,0,0,0,1,0,0,0
11650.02,30016,0,0,0,0,0,0,0,0,1,0
24913.36,288,0,1,0,0,0,0,0,0,0,0
21658.88,303,0,0,1,0,0,0,0,0,0,0
32313.05,30291,0,0,0,0,0,0,0,0,1,0
33027.8,59,0,0,0,0,1,0,0,0,0,0
6019.02,30041,0,0,0,0,0,0,0,1,0,0
17943.91,303,0,0,1,0,0,0,0,0,0,0
1871.6,226,0,1,0,0,0,0,0,0,0,0
29202.15,102,0,0,0,0,0,1,0,0,0,0
4976.49,119,0,1,0,0,0,0,0,0,0,0
24672.95,306,0,0,0,1,0,0,0,0,0,0
36791.43,95,0,0,0,1,0,0,0,0,0,0
35873.86,8,0,0,0,1,0,0,0,0,0,0
32402.42,59,0,0,1,0,0,0,0,0,0,0
